Date and time      ,Julian Day   ,RA (J2000),Dec (J2000),mag,phase,"dist., AU",elong.
2017-12-17 08:02:00, 2458104.95972,   17h07m09.1s, -18°06'45.1", -3.48, 0.67%, 0.002698, +9°20'05.8"
2017-12-17 14:02:00, 2458105.20972,   17h15m27.9s, -18°42'01.6", -3.09, 0.44%, 0.002673, +7°37'14.8"
2017-12-17 20:02:00, 2458105.45972,   17h25m15.4s, -18°44'33.7", 3.60, 0.29%, 0.002716, +6°07'04.1"
2017-12-18 02:02:00, 2458105.70972,   17h41m32.9s, -18°49'10.6", -1.31, 0.16%, 0.002747, +4°35'03.2"
2017-12-18 08:02:00, 2458105.95972,   17h57m09.0s, -19°20'18.9", -1.11, 0.19%, 0.002709, +4°59'21.0"
2017-12-18 14:02:00, 2458106.20972,   18h06m10.8s, -19°47'03.1", -2.29, 0.27%, 0.002675, +5°58'08.1"
2017-12-18 20:02:00, 2458106.45972,   18h15m19.1s, -19°38'36.9", -2.40, 0.44%, 0.002711, +7°36'52.4"
2017-12-19 02:02:00, 2458106.70972,   18h31m05.0s, -19°26'24.1", -4.09, 0.89%, 0.002748, +10°47'18.4"
2017-12-19 08:02:00, 2458106.95972,   18h47m24.9s, -19°41'31.8", -1.69, 1.51%, 0.002717, +14°03'32.6"
2017-12-19 14:02:00, 2458107.20972,   18h57m13.5s, -19°58'08.7", -5.48, 1.93%, 0.002675, +15°56'34.3"
2017-12-19 20:02:00, 2458107.45972,   19h05m45.0s, -19°39'50.5", -5.54, 2.38%, 0.002702, +17°42'26.2"
2017-12-20 02:02:00, 2458107.70972,   19h20m44.0s, -19°11'45.3", -6.24, 3.33%, 0.002744, +20°58'56.1"
2017-12-20 08:02:00, 2458107.95972,   19h37m31.5s, -19°09'42.5", -5.72, 4.55%, 0.002720, +24°33'55.9"
2017-12-20 14:02:00, 2458108.20972,   19h48m07.6s, -19°14'43.3", -7.14, 5.37%, 0.002672, +26°43'07.5"
2017-12-20 20:02:00, 2458108.45972,   19h56m07.1s, -18°47'42.1", -7.20, 6.05%, 0.002689, +28°24'28.9"
2017-12-21 02:02:00, 2458108.70972,   20h10m07.3s, -18°05'47.2", -7.54, 7.42%, 0.002734, +31°32'23.7"
2017-12-21 08:02:00, 2458108.95972,   20h27m05.8s, -17°46'41.2", -7.64, 9.22%, 0.002718, +35°15'29.5"
2017-12-21 14:02:00, 2458109.20972,   20h38m28.4s, -17°38'57.3", -8.23, 10.46%, 0.002665, +37°38'58.6"
2017-12-21 20:02:00, 2458109.45972,   20h46m03.7s, -17°04'11.6", -8.31, 11.36%, 0.002671, +39°17'50.2"
2017-12-22 02:02:00, 2458109.70972,   20h58m58.5s, -16°11'13.2", -8.44, 13.06%, 0.002718, +42°15'23.7"
2017-12-22 08:02:00, 2458109.95972,   21h15m54.0s, -15°36'25.3", -8.67, 15.37%, 0.002711, +46°03'19.7"
2017-12-22 14:02:00, 2458110.20972,   21h28m02.0s, -15°15'19.3", -9.01, 17.07%, 0.002655, +48°41'39.2"
2017-12-22 20:02:00, 2458110.45972,   21h35m23.9s, -14°33'27.4", -9.13, 18.18%, 0.002649, +50°21'00.6"
2017-12-23 02:02:00, 2458110.70972,   21h47m12.6s, -13°32'29.1", -9.11, 20.09%, 0.002695, +53°07'56.5"
2017-12-23 08:02:00, 2458110.95972,   22h03m55.3s, -12°44'21.9", -9.41, 22.85%, 0.002696, +56°58'39.9"
2017-12-23 14:02:00, 2458111.20972,   22h16m48.8s, -12°09'54.6", -9.61, 25.01%, 0.002639, +59°52'44.3"
2017-12-23 20:02:00, 2458111.45972,   22h24m10.8s, -11°21'12.3", -9.78, 26.32%, 0.002621, +61°35'57.0"
2017-12-24 02:02:00, 2458111.70972,   22h34m58.3s, -10°15'12.0", -9.58, 28.36%, 0.002666, +64°12'37.6"
2017-12-24 08:02:00, 2458111.95972,   22h51m23.3s, -9°16'53.6", -10.00, 31.45%, 0.002675, +68°04'26.8"
2017-12-24 14:02:00, 2458112.20972,   23h05m04.5s, -8°29'49.7", -10.04, 34.05%, 0.002619, +71°15'08.6"
2017-12-24 20:02:00, 2458112.45972,   23h12m42.0s, -7°34'16.4", -10.32, 35.58%, 0.002590, +73°05'49.5"
2017-12-25 02:02:00, 2458112.70972,   23h22m37.6s, -6°25'50.5", -9.77, 37.65%, 0.002630, +75°33'08.1"
2017-12-25 08:02:00, 2458112.95972,   23h38m44.0s, -5°21'01.9", -10.48, 40.94%, 0.002647, +79°24'27.5"
2017-12-25 14:02:00, 2458113.20972,   23h53m17.8s, -4°22'57.6", -10.19, 43.93%, 0.002594, +82°52'24.8"
2017-12-25 20:02:00, 2458113.45972,    0h01m28.4s, -3°20'30.8", -10.78, 45.69%, 0.002555, +84°54'20.6"
2017-12-26 02:02:00, 2458113.70972,    0h10m44.6s, -2°11'48.0", -8.31, 47.71%, 0.002588, +87°13'40.9"
2017-12-26 08:02:00, 2458113.95972,    0h26m34.5s, -1°04'35.3", -10.90, 51.05%, 0.002613, +91°02'51.9"
2017-12-26 14:02:00, 2458114.20972,    0h42m07.8s, +0°01'50.5", -6.62, 54.32%, 0.002565, +94°48'15.9"
2017-12-26 20:02:00, 2458114.45972,    0h51m11.2s, +1°10'51.7", -11.16, 56.30%, 0.002517, +97°05'14.3"
2017-12-27 02:02:00, 2458114.70972,    1h00m03.0s, +2°18'07.5", -9.42, 58.21%, 0.002543, +99°18'30.5"
2017-12-27 08:02:00, 2458114.95972,    1h15m39.6s, +3°23'17.1", -11.25, 61.42%, 0.002574, +103°03'44.4"
2017-12-27 14:02:00, 2458115.20972,    1h32m20.5s, +4°34'07.7", -10.71, 64.82%, 0.002534, +107°06'03.1"
2017-12-27 20:02:00, 2458115.45972,    1h42m38.4s, +5°48'30.5", -11.48, 66.96%, 0.002479, +109°41'36.7"
2017-12-28 02:02:00, 2458115.70972,    1h51m22.8s, +6°52'50.3", -11.04, 68.72%, 0.002495, +111°51'13.6"
2017-12-28 08:02:00, 2458115.95972,    2h06m48.6s, +7°51'13.4", -11.55, 71.64%, 0.002532, +115°30'26.9"
2017-12-28 14:02:00, 2458116.20972,    2h24m43.6s, +9°01'01.6", -11.46, 74.95%, 0.002502, +119°48'04.1"
2017-12-28 20:02:00, 2458116.45972,    2h36m38.5s, +10°18'01.8", -11.74, 77.14%, 0.002443, +122°45'07.4"
2017-12-29 02:02:00, 2458116.70972,    2h45m34.0s, +11°17'53.2", -11.58, 78.69%, 0.002449, +124°53'58.1"
2017-12-29 08:02:00, 2458116.95972,    3h00m48.7s, +12°04'43.1", -11.80, 81.14%, 0.002491, +128°24'51.3"
2017-12-29 14:02:00, 2458117.20972,    3h19m58.9s, +13°06'33.7", -11.81, 84.11%, 0.002473, +132°54'45.1"
2017-12-29 20:02:00, 2458117.45972,    3h33m50.5s, +14°21'24.1", -11.92, 86.18%, 0.002413, +136°15'02.3"
2017-12-30 02:02:00, 2458117.70972,    3h43m16.4s, +15°14'49.8", -11.91, 87.47%, 0.002409, +138°26'21.0"
2017-12-30 08:02:00, 2458117.95972,    3h58m13.8s, +15°45'45.3", -11.98, 89.33%, 0.002453, +141°46'22.7"
2017-12-30 14:02:00, 2458118.20972,    4h18m29.2s, +16°31'51.0", -12.05, 91.68%, 0.002448, +146°23'44.3"
2017-12-30 20:02:00, 2458118.45972,    4h34m28.4s, +17°37'40.7", -11.98, 93.38%, 0.002392, +150°07'14.2"
2017-12-31 02:02:00, 2458118.70972,    4h44m41.7s, +18°22'00.0", -12.13, 94.34%, 0.002377, +152°24'20.2"
2017-12-31 08:02:00, 2458118.95972,    4h59m08.6s, +18°33'53.0", -12.07, 95.52%, 0.002421, +155°30'47.1"
2017-12-31 14:02:00, 2458119.20972,    5h20m02.4s, +18°57'03.0", -12.20, 97.04%, 0.002432, +160°08'20.3"
2017-12-31 20:02:00, 2458119.45972,    5h38m03.0s, +19°45'56.2", -11.66, 98.12%, 0.002382, +164°12'18.0"
2018-01-01 02:02:00, 2458119.70972,    5h49m14.3s, +20°17'48.4", -12.26, 98.65%, 0.002358, +166°37'55.9"
2018-01-01 08:02:00, 2458119.95972,    6h02m52.2s, +20°09'37.5", -11.99, 99.15%, 0.002400, +169°25'28.1"
2018-01-01 14:02:00, 2458120.20972,    6h23m40.7s, +20°05'25.0", -12.27, 99.70%, 0.002426, +173°41'26.5"
2018-01-01 20:02:00, 2458120.45972,    6h43m14.2s, +20°30'29.7", -7.78, 99.94%, 0.002386, +177°13'07.6"
2018-01-02 02:02:00, 2458120.70972,    6h55m24.2s, +20°46'33.5", -12.30, 99.95%, 0.002354, +177°30'05.1"
2018-01-02 08:02:00, 2458120.95972,    7h07m55.1s, +20°19'49.9", -10.95, 99.83%, 0.002391, +175°19'00.1"
2018-01-02 14:02:00, 2458121.20972,    7h27m46.6s, +19°48'20.5", -12.26, 99.41%, 0.002430, +171°09'46.0"
2018-01-02 20:02:00, 2458121.45972,    7h48m07.7s, +19°46'13.3", -11.82, 98.70%, 0.002403, +166°51'56.1"
2018-01-03 02:02:00, 2458121.70972,    8h01m07.0s, +19°44'11.7", -12.25, 98.11%, 0.002365, +164°09'47.4"
2018-01-03 08:02:00, 2458121.95972,    8h12m21.5s, +19°02'28.7", -11.12, 97.48%, 0.002395, +161°40'44.4"
2018-01-03 14:02:00, 2458122.20972,    8h30m32.3s, +18°08'28.5", -12.18, 96.23%, 0.002445, +157°32'22.6"
2018-01-03 20:02:00, 2458122.45972,    8h50m52.8s, +17°40'27.2", -11.99, 94.58%, 0.002431, +153°00'29.9"
2018-01-04 02:02:00, 2458122.70972,    9h04m27.3s, +17°19'59.0", -12.12, 93.36%, 0.002390, +150°03'24.0"
2018-01-04 08:02:00, 2458122.95972,    9h14m29.1s, +16°27'33.7", -11.87, 92.33%, 0.002412, +147°45'56.6"
2018-01-04 14:02:00, 2458123.20972,    9h30m35.9s, +15°18'41.8", -12.02, 90.48%, 0.002469, +143°58'40.0"
2018-01-04 20:02:00, 2458123.45972,    9h50m18.5s, +14°29'59.2", -11.91, 88.04%, 0.002469, +139°26'56.9"
2018-01-05 02:02:00, 2458123.70972,   10h04m16.0s, +13°52'45.9", -11.90, 86.21%, 0.002427, +136°17'54.8"
2018-01-05 08:02:00, 2458123.95972,   10h13m19.9s, +12°53'24.5", -11.85, 84.89%, 0.002438, +134°08'58.6"
2018-01-05 14:02:00, 2458124.20972,   10h27m20.2s, +11°37'40.8", -11.79, 82.71%, 0.002499, +130°45'18.1"
2018-01-05 20:02:00, 2458124.45972,   10h46m04.5s, +10°35'28.0", -11.73, 79.71%, 0.002513, +126°20'04.3"
2018-01-06 02:02:00, 2458124.70972,   11h00m18.3s, +9°44'41.2", -11.61, 77.33%, 0.002471, +123°00'52.9"
2018-01-06 08:02:00, 2458124.95972,   11h08m44.4s, +8°41'05.3", -11.67, 75.81%, 0.002471, +120°56'54.7"
2018-01-06 14:02:00, 2458125.20972,   11h20m50.9s, +7°25'00.8", -11.46, 73.53%, 0.002533, +117°56'49.4"
2018-01-06 20:02:00, 2458125.45972,   11h38m30.5s, +6°16'35.5", -11.49, 70.21%, 0.002558, +113°42'17.2"
2018-01-07 02:02:00, 2458125.70972,   11h52m59.2s, +5°16'13.6", -11.21, 67.41%, 0.002518, +110°14'39.4"
2018-01-07 08:02:00, 2458125.95972,   12h01m08.9s, +4°10'07.4", -11.42, 65.73%, 0.002508, +108°12'07.1"
2018-01-07 14:02:00, 2458126.20972,   12h11m41.1s, +2°58'04.6", -10.96, 63.54%, 0.002567, +105°33'56.5"
2018-01-07 20:02:00, 2458126.45972,   12h28m18.3s, +1°49'44.6", -11.19, 60.13%, 0.002602, +101°32'43.9"
2018-01-08 02:02:00, 2458126.70972,   12h43m04.5s, +0°44'00.7", -10.59, 57.06%, 0.002566, +97°58'16.6"
2018-01-08 08:02:00, 2458126.95972,   12h51m17.8s, -0°23'23.9", -11.10, 55.27%, 0.002546, +95°53'55.3"
2018-01-08 14:02:00, 2458127.20972,   13h00m36.5s, -1°28'59.6", -9.05, 53.26%, 0.002598, +93°34'54.2"
2018-01-08 20:02:00, 2458127.45972,   13h16m17.7s, -2°32'17.7", -10.84, 49.97%, 0.002641, +89°48'25.6"
2018-01-09 02:02:00, 2458127.70972,   13h31m25.6s, -3°39'13.7", -8.66, 46.77%, 0.002611, +86°08'36.3"
2018-01-09 08:02:00, 2458127.95972,   13h40m00.6s, -4°46'50.7", -10.73, 44.90%, 0.002581, +83°59'36.7"
2018-01-09 14:02:00, 2458128.20972,   13h48m25.5s, -5°44'57.8", -9.49, 43.12%, 0.002626, +81°56'24.4"
2018-01-09 20:02:00, 2458128.45972,   14h03m17.3s, -6°39'35.9", -10.43, 40.09%, 0.002674, +78°25'11.3"
2018-01-10 02:02:00, 2458128.70972,   14h18m51.2s, -7°43'43.8", -8.05, 36.92%, 0.002650, +74°41'18.9"
2018-01-10 08:02:00, 2458128.95972,   14h28m03.7s, -8°50'12.7", -10.28, 35.02%, 0.002613, +72°25'19.8"
2018-01-10 14:02:00, 2458129.20972,   14h35m52.8s, -9°40'38.8", -9.87, 33.49%, 0.002648, +70°34'21.3"
2018-01-10 20:02:00, 2458129.45972,   14h50m00.6s, -10°24'04.7", -9.95, 30.83%, 0.002700, +67°18'19.8"
2018-01-11 02:02:00, 2458129.70972,   15h06m02.8s, -11°21'36.6", -9.23, 27.82%, 0.002683, +63°31'39.1"
2018-01-11 08:02:00, 2458129.95972,   15h16m06.2s, -12°25'10.2", -9.76, 25.95%, 0.002640, +61°06'47.8"
2018-01-11 14:02:00, 2458130.20972,   15h23m35.4s, -13°08'03.7", -9.52, 24.65%, 0.002664, +59°24'26.7"
2018-01-11 20:02:00, 2458130.45972,   15h37m02.1s, -13°38'39.4", -9.38, 22.42%, 0.002718, +56°23'11.5"
2018-01-12 02:02:00, 2458130.70972,   15h53m32.1s, -14°26'03.5", -8.95, 19.71%, 0.002709, +52°34'58.2"
2018-01-12 08:02:00, 2458130.95972,   16h04m36.8s, -15°24'24.2", -9.11, 17.94%, 0.002662, +49°59'50.0"
2018-01-12 14:02:00, 2458131.20972,   16h12m00.1s, -15°59'52.9", -8.95, 16.86%, 0.002674, +48°22'35.6"
2018-01-12 20:02:00, 2458131.45972,   16h24m45.8s, -16°16'47.1", -8.67, 15.08%, 0.002728, +45°35'29.3"
2018-01-13 02:02:00, 2458131.70972,   16h41m38.5s, -16°50'56.9", -8.34, 12.78%, 0.002727, +41°47'05.5"
2018-01-13 08:02:00, 2458131.95972,   16h53m50.6s, -17°41'21.2", -8.31, 11.20%, 0.002679, +39°00'43.0"
2018-01-13 14:02:00, 2458132.20972,   17h01m20.4s, -18°09'19.4", -8.18, 10.34%, 0.002679, +37°25'13.8"
2018-01-13 20:02:00, 2458132.45972,   17h13m22.9s, -18°12'24.4", -7.72, 9.02%, 0.002732, +34°51'33.4"
2018-01-14 02:02:00, 2458132.70972,   17h30m28.2s, -18°30'53.2", -7.45, 7.21%, 0.002739, +31°04'33.8"
2018-01-14 08:02:00, 2458132.95972,   17h43m48.4s, -19°10'26.7", -7.22, 5.93%, 0.002690, +28°06'27.1"
2018-01-14 14:02:00, 2458133.20972,   17h51m35.0s, -19°30'28.6", -7.10, 5.28%, 0.002679, +26°29'33.0"
2018-01-14 20:02:00, 2458133.45972,   18h02m50.7s, -19°20'17.9", -6.28, 4.40%, 0.002728, +24°08'38.2"
2018-01-15 02:02:00, 2458133.70972,   18h19m53.9s, -19°21'37.3", -6.13, 3.16%, 0.002744, +20°25'06.0"
2018-01-15 08:02:00, 2458133.95972,   18h34m17.0s, -19°47'37.5", -5.57, 2.26%, 0.002697, +17°15'17.6"
2018-01-15 14:02:00, 2458134.20972,   18h42m28.4s, -19°58'58.3", -5.40, 1.84%, 0.002676, +15°34'04.6"
2018-01-15 20:02:00, 2458134.45972,   18h52m54.0s, -19°36'41.8", -2.83, 1.38%, 0.002720, +13°26'01.0"
2018-01-16 02:02:00, 2458134.70972,   19h09m37.7s, -19°20'37.3", -3.79, 0.74%, 0.002744, +9°50'26.2"
2018-01-16 08:02:00, 2458134.95972,   19h24m53.1s, -19°31'00.3", -2.24, 0.33%, 0.002700, +6°31'55.0"
2018-01-16 14:02:00, 2458135.20972,   19h33m35.1s, -19°32'43.4", -1.57, 0.17%, 0.002669, +4°46'39.1"
2018-01-16 20:02:00, 2458135.45972,   19h43m09.4s, -18°59'57.7", 1.47, 0.08%, 0.002706, +3°10'55.1"
2018-01-17 02:02:00, 2458135.70972,   19h59m16.4s, -18°27'35.0", 0.63, 0.05%, 0.002738, +2°31'12.2"
2018-01-17 08:02:00, 2458135.95972,   20h15m10.3s, -18°21'18.7", -0.67, 0.19%, 0.002700, +5°02'22.0"
2018-01-17 14:02:00, 2458136.20972,   20h24m26.8s, -18°12'26.5", -2.75, 0.36%, 0.002660, +6°50'39.0"
2018-01-17 20:02:00, 2458136.45972,   20h33m12.3s, -17°30'59.7", -3.09, 0.59%, 0.002689, +8°47'03.9"
2018-01-18 02:02:00, 2458136.70972,   20h48m28.5s, -16°44'36.9", -4.51, 1.14%, 0.002727, +12°12'35.8"
2018-01-18 08:02:00, 2458136.95972,   21h04m46.5s, -16°21'53.6", -2.52, 1.89%, 0.002696, +15°46'16.4"
2018-01-18 14:02:00, 2458137.20972,   21h14m40.4s, -16°01'40.5", -5.87, 2.43%, 0.002648, +17°53'12.7"
2018-01-18 20:02:00, 2458137.45972,   21h22m43.8s, -15°13'14.8", -5.96, 2.95%, 0.002669, +19°43'39.9"
2018-01-19 02:02:00, 2458137.70972,   21h37m00.4s, -14°16'02.0", -6.58, 4.01%, 0.002712, +23°02'47.0"
2018-01-19 08:02:00, 2458137.95972,   21h53m30.6s, -13°38'18.2", -6.65, 5.39%, 0.002688, +26°47'12.9"
2018-01-19 14:02:00, 2458138.20972,   22h04m04.9s, -13°06'21.8", -7.44, 6.36%, 0.002635, +29°08'38.1"
2018-01-19 20:02:00, 2458138.45972,   22h11m36.8s, -12°12'20.0", -7.52, 7.14%, 0.002646, +30°55'12.5"
2018-01-20 02:02:00, 2458138.70972,   22h24m50.9s, -11°07'52.7", -7.83, 8.63%, 0.002692, +34°04'36.2"
2018-01-20 08:02:00, 2458138.95972,   22h41m25.0s, -10°17'39.3", -8.05, 10.62%, 0.002677, +37°56'04.3"
2018-01-20 14:02:00, 2458139.20972,   22h52m44.1s, -9°34'09.6", -8.48, 12.07%, 0.002620, +40°33'04.7"
2018-01-20 20:02:00, 2458139.45972,   22h59m58.0s, -8°35'28.8", -8.58, 13.09%, 0.002620, +42°18'42.8"
2018-01-21 02:02:00, 2458139.70972,   23h12m12.3s, -7°27'22.4", -8.72, 14.89%, 0.002667, +45°17'26.6"
2018-01-21 08:02:00, 2458139.95972,   23h28m46.2s, -6°28'00.1", -8.98, 17.43%, 0.002661, +49°13'43.5"
2018-01-21 14:02:00, 2458140.20972,   23h40m56.1s, -5°33'47.9", -9.24, 19.39%, 0.002602, +52°07'31.8"
2018-01-21 20:02:00, 2458140.45972,   23h48m08.4s, -4°31'02.2", -9.38, 20.64%, 0.002591, +53°55'26.2"
2018-01-22 02:02:00, 2458140.70972,   23h59m29.6s, -3°22'33.7", -9.38, 22.66%, 0.002637, +56°43'13.6"
2018-01-22 08:02:00, 2458140.95972,    0h16m02.7s, -2°18'00.1", -9.69, 25.64%, 0.002640, +60°42'18.9"
2018-01-22 14:02:00, 2458141.20972,    0h29m11.7s, -1°14'46.2", -9.80, 28.11%, 0.002582, +63°53'53.1"
2018-01-22 20:02:00, 2458141.45972,    0h36m40.7s, -0°08'19.2", -10.02, 29.61%, 0.002559, +65°47'32.0"
2018-01-23 02:02:00, 2458141.70972,    0h47m18.4s, +0°57'43.3", -9.87, 31.72%, 0.002603, +68°24'41.2"
2018-01-23 08:02:00, 2458141.95972,    1h03m52.7s, +2°03'03.1", -10.25, 35.01%, 0.002615, +72°24'35.4"
2018-01-23 14:02:00, 2458142.20972,    1h18m10.7s, +3°12'37.0", -10.11, 37.95%, 0.002559, +75°54'29.4"
2018-01-23 20:02:00, 2458142.45972,    1h26m16.9s, +4°22'11.8", -10.55, 39.69%, 0.002526, +77°57'32.0"
2018-01-24 02:02:00, 2458142.70972,    1h36m22.5s, +5°23'30.2", -10.10, 41.80%, 0.002565, +80°24'57.1"
2018-01-24 08:02:00, 2458142.95972,    1h53m00.4s, +6°24'50.3", -10.72, 45.25%, 0.002585, +84°23'36.0"
2018-01-24 14:02:00, 2458143.20972,    2h08m38.0s, +7°36'49.0", -9.07, 48.56%, 0.002535, +88°11'49.1"
2018-01-24 20:02:00, 2458143.45972,    2h17m44.0s, +8°48'19.7", -10.98, 50.53%, 0.002493, +90°27'55.8"
2018-01-25 02:02:00, 2458143.70972,    2h27m30.1s, +9°43'01.6", -8.96, 52.56%, 0.002524, +92°47'08.2"
2018-01-25 08:02:00, 2458143.95972,    2h44m12.3s, +10°35'23.0", -11.12, 55.97%, 0.002553, +96°42'18.3"
2018-01-25 14:02:00, 2458144.20972,    3h01m18.4s, +11°44'28.2", -10.24, 59.49%, 0.002510, +100°48'01.6"
2018-01-25 20:02:00, 2458144.45972,    3h11m47.5s, +12°55'32.6", -11.34, 61.66%, 0.002461, +103°20'38.6"
2018-01-26 02:02:00, 2458144.70972,    3h21m27.4s, +13°42'00.6", -9.73, 63.53%, 0.002483, +105°33'46.5"
2018-01-26 08:02:00, 2458144.95972,    3h38m10.1s, +14°20'27.4", -11.45, 66.71%, 0.002518, +109°23'03.1"
2018-01-26 14:02:00, 2458145.20972,    3h56m47.7s, +15°20'03.5", -11.31, 70.23%, 0.002485, +113°44'23.1"
2018-01-26 20:02:00, 2458145.45972,    4h09m01.0s, +16°26'41.8", -11.63, 72.49%, 0.002432, +116°36'18.9"
2018-01-27 02:02:00, 2458145.70972,    4h18m47.8s, +17°03'21.3", -11.28, 74.16%, 0.002444, +118°46'04.8"
2018-01-27 08:02:00, 2458145.95972,    4h35m20.0s, +17°23'33.4", -11.72, 76.92%, 0.002485, +122°26'52.8"
2018-01-27 14:02:00, 2458146.20972,    4h55m20.0s, +18°06'24.0", -11.72, 80.18%, 0.002464, +127°00'36.3"
2018-01-27 20:02:00, 2458146.45972,    5h09m31.0s, +19°02'56.9", -11.83, 82.36%, 0.002409, +130°13'34.2"
2018-01-28 02:02:00, 2458146.70972,    5h19m35.9s, +19°28'05.7", -11.76, 83.77%, 0.002410, +132°23'05.8"
2018-01-28 08:02:00, 2458146.95972,    5h35m37.9s, +19°27'10.3", -11.92, 85.95%, 0.002455, +135°52'49.1"
2018-01-28 14:02:00, 2458147.20972,    5h56m34.8s, +19°46'41.0", -11.98, 88.67%, 0.002449, +140°34'16.4"
2018-01-28 20:02:00, 2458147.45972,    6h12m41.9s, +20°26'37.0", -11.93, 90.56%, 0.002395, +144°08'25.0"
2018-01-29 02:02:00, 2458147.70972,    6h23m12.1s, +20°38'26.9", -12.04, 91.66%, 0.002385, +146°21'00.0"
2018-01-29 08:02:00, 2458147.95972,    6h38m18.2s, +20°15'55.1", -12.04, 93.17%, 0.002431, +149°37'19.2"
2018-01-29 14:02:00, 2458148.20972,    6h59m29.6s, +20°08'10.0", -12.14, 95.09%, 0.002441, +154°20'33.1"
2018-01-29 20:02:00, 2458148.45972,    7h17m12.6s, +20°25'48.8", -11.77, 96.45%, 0.002392, +158°14'07.5"
2018-01-30 02:02:00, 2458148.70972,    7h28m10.5s, +20°22'44.6", -12.20, 97.16%, 0.002372, +160°32'50.2"
2018-01-30 08:02:00, 2458148.95972,    7h41m56.4s, +19°40'58.1", -12.01, 97.97%, 0.002417, +163°34'07.4"
2018-01-30 14:02:00, 2458149.20972,    8h02m32.1s, +19°06'17.8", -12.24, 98.95%, 0.002442, +168°12'23.7"
2018-01-30 20:02:00, 2458149.45972,    8h21m15.9s, +18°58'50.4", -8.91, 99.56%, 0.002401, +172°21'41.3"
2018-01-31 02:02:00, 2458149.70972,    8h32m39.5s, +18°40'02.0", -12.28, 99.80%, 0.002373, +174°48'41.8"
2018-01-31 08:02:00, 2458149.95972,    8h44m51.7s, +17°43'37.2", -11.42, 99.96%, 0.002414, +177°34'43.4"
2018-01-31 14:02:00, 2458150.20972,    9h04m08.0s, +16°46'49.6", -12.25, 99.97%, 0.002452, +177°57'59.8"
2018-01-31 20:02:00, 2458150.45972,    9h23m14.0s, +16°15'24.8", -11.41, 99.69%, 0.002422, +173°37'46.2"
2018-02-01 02:02:00, 2458150.70972,    9h35m00.0s, +15°41'14.8", -12.27, 99.39%, 0.002387, +170°59'55.3"
2018-02-01 08:02:00, 2458150.95972,    9h45m40.2s, +14°35'35.6", -10.42, 99.00%, 0.002423, +168°30'03.6"
2018-02-01 14:02:00, 2458151.20972,   10h03m10.7s, +13°24'23.4", -12.19, 98.15%, 0.002472, +164°20'31.2"
2018-02-01 20:02:00, 2458151.45972,   10h22m07.7s, +12°33'41.4", -11.90, 96.97%, 0.002454, +159°54'58.7"
2018-02-02 02:02:00, 2458151.70972,   10h34m14.4s, +11°45'51.7", -12.17, 96.08%, 0.002414, +157°06'18.8"
2018-02-02 08:02:00, 2458151.95972,   10h43m37.0s, +10°35'42.8", -11.85, 95.27%, 0.002442, +154°49'24.5"
2018-02-02 14:02:00, 2458152.20972,   10h59m14.1s, +9°18'25.2", -12.06, 93.77%, 0.002499, +151°01'06.3"
2018-02-02 20:02:00, 2458152.45972,   11h17m43.0s, +8°15'07.5", -11.90, 91.78%, 0.002494, +146°35'55.5"
2018-02-03 02:02:00, 2458152.70972,   11h30m11.7s, +7°16'25.1", -12.01, 90.29%, 0.002451, +143°36'41.1"
2018-02-03 08:02:00, 2458152.95972,   11h38m37.7s, +6°05'08.1", -11.89, 89.18%, 0.002469, +141°30'06.6"
2018-02-03 14:02:00, 2458153.20972,   11h52m27.5s, +4°48'50.4", -11.86, 87.26%, 0.002532, +138°04'59.6"
2018-02-03 20:02:00, 2458153.45972,   12h10m20.3s, +3°40'02.5", -11.77, 84.64%, 0.002538, +133°44'50.6"
2018-02-04 02:02:00, 2458153.70972,   12h23m14.6s, +2°33'56.1", -11.78, 82.61%, 0.002495, +130°35'50.5"
2018-02-04 08:02:00, 2458153.95972,   12h31m07.0s, +1°23'31.6", -11.76, 81.27%, 0.002503, +128°36'17.1"
2018-02-04 14:02:00, 2458154.20972,   12h43m22.8s, +0°13'14.5", -11.59, 79.17%, 0.002566, +125°34'24.6"
2018-02-04 20:02:00, 2458154.45972,   13h00m38.3s, -0°54'40.4", -11.57, 76.13%, 0.002584, +121°22'48.6"
2018-02-05 02:02:00, 2458154.70972,   13h14m03.4s, -2°04'22.5", -11.48, 73.64%, 0.002541, +118°05'07.7"
2018-02-05 08:02:00, 2458154.95972,   13h21m44.1s, -3°12'46.9", -11.55, 72.14%, 0.002538, +116°09'06.3"
2018-02-05 14:02:00, 2458155.20972,   13h32m41.5s, -4°14'07.5", -11.20, 70.04%, 0.002599, +113°29'01.3"
2018-02-05 20:02:00, 2458155.45972,   13h49m21.7s, -5°15'58.1", -11.32, 66.79%, 0.002627, +109°28'18.5"
2018-02-06 02:02:00, 2458155.70972,   14h03m23.3s, -6°25'23.6", -11.10, 63.95%, 0.002587, +106°03'04.0"
2018-02-06 08:02:00, 2458155.95972,   14h11m12.1s, -7°31'01.8", -11.28, 62.32%, 0.002574, +104°07'13.4"
2018-02-06 14:02:00, 2458156.20972,   14h21m06.5s, -8°22'07.9", -10.33, 60.33%, 0.002629, +101°46'26.5"
2018-02-06 20:02:00, 2458156.45972,   14h37m13.9s, -9°13'59.3", -11.02, 57.06%, 0.002665, +97°57'56.8"
2018-02-07 02:02:00, 2458156.70972,   14h51m56.4s, -10°19'20.6", -10.55, 54.00%, 0.002629, +94°26'11.2"
