#time           flux       flux_err
  271.422408379    10.80951     1.18535 
  271.442841078    11.30000     1.18562 
  271.463273876    10.52989     1.18584 
  271.483706673     9.79215     1.18544 
  271.504139471     7.07110     1.18513 
  272.198854352   -18.11282     1.18131 
  272.219287141   -18.39965     1.18137 
  272.239719831   -21.17789     1.18085 
  272.260152720   -19.63953     1.18126 
  272.280585509   -21.11688     1.18116 
  272.301018298   -21.34278     1.18110 
  272.321450986   -21.55499     1.18103 
  272.341883875   -23.23805     1.18094 
  272.362316663   -21.37649     1.18124 
  272.382749351   -22.55554     1.18086 
  272.403182238   -19.76858     1.18140 
  272.423615026   -23.91486     1.18124 
  272.444047713   -23.91335     1.18084 
  272.464480600   -23.36532     1.18076 
  272.484913387   -24.28422     1.18073 
  272.505346073   -24.20160     1.18053 
  273.179627908   -19.94317     1.18131 
  273.200060587   -21.71116     1.18117 
  273.220493366   -18.05146     1.18122 
  273.240926245   -19.17163     1.18158 
  273.261358923   -18.35491     1.18116 
  273.281791702   -16.47468     1.18186 
  273.302224580   -15.37033     1.18166 
  273.322657258   -12.41564     1.18256 
  273.343090035   -11.09287     1.18258 
  273.363522813    -8.99518     1.18311 
  273.404388367    -7.18289     1.18320 
  273.424821144    -3.67420     1.18369 
  273.445253920    -4.45454     1.18351 
  273.465686697    -2.96723     1.18383 
  273.486119473    -1.02056     1.18413 
  273.506552149     1.33798     1.18439 
  274.180833534    24.78201     1.18792 
  274.201266303    24.43195     1.18790 
  274.221699172    24.33430     1.18779 
  274.242131940    25.08360     1.18786 
  274.262564608    24.76644     1.18799 
  274.282997476    24.62850     1.18788 
  274.303430243    24.34017     1.18792 
  274.323862911    29.53547     1.18852 
  274.344295678    26.58078     1.18814 
  274.364728545    26.51390     1.18827 
  274.385161212    25.48400     1.18815 
  274.405593978    24.68987     1.18790 
  274.446459511    26.46987     1.18811 
  274.466892276    26.82829     1.18822 
  274.487325042    24.58750     1.18800 
  274.507757908    24.04338     1.18807 
  283.150798559   -13.66700     1.18364 
  283.171231344   -14.70508     1.18352 
  283.191663929   -16.46685     1.18333 
  283.212096613   -17.16519     1.18313 
  283.232529398   -16.70298     1.18318 
  283.252961982   -17.07670     1.18314 
  283.273394667   -16.94720     1.18328 
  283.293827351   -16.13298     1.18328 
  283.314260035   -17.78295     1.18302 
  283.355125402   -17.96892     1.18316 
  283.375558085   -20.39115     1.18272 
  283.395990768   -15.70065     1.18334 
  283.416423451   -19.31224     1.18280 
  283.436856134   -18.91086     1.18292 
  283.457288817   -17.53090     1.18316 
  283.477721400   -19.58483     1.18278 
  284.151999832    -0.55204     1.18545 
  284.172432509    -2.08008     1.18513 
  284.192865085    -1.92266     1.18527 
  284.213297862     0.39711     1.18558 
  284.233730539     1.95121     1.18586 
  284.254163115    -1.17932     1.18538 
  284.295028567     3.80903     1.18618 
  284.315461143     3.04488     1.18592 
  284.356326594     3.33579     1.18602 
  284.376759169     3.46244     1.18599 
  284.397191845     4.43533     1.18624 
  284.417624620     8.39716     1.18672 
  284.438057194     5.04856     1.18626 
  284.458489869     4.28387     1.18623 
  285.153200614    12.81399     1.18742 
  285.173633283     9.00647     1.18698 
  285.194065952    12.54238     1.18733 
  285.214498621    10.75606     1.18723 
  285.234931290    11.09820     1.18711 
  285.255364058     9.66559     1.18697 
  285.275796627    10.48853     1.18716 
  285.296229295     8.33081     1.18688 
  285.337094631     8.56178     1.18699 
  285.357527299     6.99692     1.18659 
  285.377959866     5.78025     1.18616 
  285.398392634     6.61805     1.18657 
  285.418825301     5.80524     1.18639 
  285.439257968     5.42850     1.18647 
  285.459690635     6.07019     1.18663 
  286.154401120    -0.23764     1.18577 
  286.174833781    -0.79599     1.18548 
  286.195266343     0.58717     1.18572 
  286.215699004     0.69763     1.18576 
  286.236131765     1.20084     1.18574 
  286.276996987     0.69123     1.18564 
  286.297429747    -0.89480     1.18553 
  286.317862408    -2.61059     1.18529 
  286.338294968    -2.71963     1.18503 
  286.358727629    -2.26471     1.18537 
  286.379160389    -1.26069     1.18546 
  286.399592949    -0.66872     1.18546 
  286.420025608    -3.60741     1.18509 
  286.440458368    -2.66600     1.18513 
  286.460890927    -5.73738     1.18471 
  287.155601161   -15.63964     1.18328 
  287.176033815   -13.85928     1.18339 
  287.196466569   -12.29219     1.18387 
  287.216899123   -10.94674     1.18394 
  287.237331777   -12.03427     1.18387 
  287.257764331   -14.03049     1.18370 
  287.278197084   -13.03082     1.18370 
  287.298629738   -13.34380     1.18382 
  287.319062391   -10.71702     1.18415 
  287.339495044   -10.68180     1.18410 
  287.359927697    -9.08376     1.18439 
  287.380360350    -9.31518     1.18430 
  287.400792902    -8.25797     1.18425 
  287.421225655    -8.96779     1.18443 
  287.441658307    -7.26276     1.18462 
  287.462090860    -7.01996     1.18481 
  288.136368203     5.13412     1.18623 
  288.156800851     4.62299     1.18599 
  288.177233598     7.60632     1.18649 
  288.197666245     5.24147     1.18617 
  288.218098792     9.31571     1.18694 
  288.238531439     9.66417     1.18696 
  288.258964185    13.58517     1.18722 
  288.320262125    10.21523     1.18693 
  288.340694671    13.18798     1.18744 
  288.361127317    10.16364     1.18708 
  288.381560063    11.52937     1.18701 
  288.401992608    12.66262     1.18735 
  288.422425254    14.44520     1.18741 
  288.442857899    12.95194     1.18745 
  288.463290645    12.27174     1.18720 
  289.137567562     5.97067     1.18728 
  289.158000303     7.93584     1.18644 
  289.178432943     5.80213     1.18634 
  289.198865584     5.95128     1.18643 
  289.219298224     6.63210     1.18666 
  289.239730864     6.80508     1.18657 
  289.260163504     4.63838     1.18630 
  289.301028784     6.91537     1.18636 
  289.321461423     5.83806     1.18642 
  289.341893963     7.00128     1.18658 
