#time           flux       flux_err
  263.453600943    30.32969     1.18696 
  263.474033835    29.64931     1.18671 
  263.494466727    32.23145     1.18699 
  263.514899619    32.79789     1.18718 
  263.555765401    33.19731     1.18722 
  263.576198192    33.61061     1.18721 
  263.596631182    33.22035     1.18717 
  263.617064073    31.86778     1.18710 
  263.637496863    32.69481     1.18718 
  263.657929853    34.24189     1.18743 
  263.678362742    34.55050     1.18742 
  263.698795531    30.56786     1.18697 
  263.719228421    33.66646     1.18725 
  263.739661309    34.73443     1.18751 
  263.760094198    33.79942     1.18721 
  263.800960074    29.89523     1.18685 
  263.821392862    31.06912     1.18703 
  263.841825749    29.02479     1.18666 
  263.862258537    29.70437     1.18694 
  263.882691524    29.53245     1.18674 
  263.903124410    30.92895     1.18705 
  263.923557197    30.17609     1.18681 
  263.943990183    28.30804     1.18648 
  263.964423069    27.86504     1.18665 
  263.984855855    26.74798     1.18644 
  264.005288840    27.69944     1.18664 
  264.025721725    23.85786     1.18597 
  264.046154610    24.46005     1.18610 
  264.066587395    23.58144     1.18596 
  264.087020379    23.33250     1.18619 
  264.107453264    21.90647     1.18581 
  264.127886048    19.55904     1.18539 
  264.168751915    19.26235     1.18556 
  264.189184698    18.17366     1.18542 
  264.209617581    17.61121     1.18535 
  264.230050563    14.67644     1.18493 
  264.250482946    17.68850     1.18520 
  264.270915628    14.20071     1.18489 
  264.291348610    14.58564     1.18502 
  264.311781492    10.88822     1.18438 
  264.332214273    10.83895     1.18431 
  264.352647254    11.50643     1.18450 
  264.393512916     6.59421     1.18381 
  264.413945796     5.24058     1.18370 
  264.434378776     3.64903     1.18335 
  264.475244436     4.54268     1.18352 
  264.495677415     4.19031     1.18341 
  264.516110194    -0.61074     1.18286 
  264.536543073     1.15308     1.18327 
  264.556975952    -0.38181     1.18289 
  264.577408830    -2.81586     1.18261 
  264.597841708    -1.88904     1.18278 
  264.618274586    -3.46520     1.18235 
  264.638707564    -5.77678     1.18215 
  264.679573218    -7.80119     1.18193 
  264.700006195    -8.67669     1.18178 
  264.720438971    -9.38037     1.18176 
  264.740871848    -9.94441     1.18182 
  264.761304724    -6.89598     1.18231 
  264.781737600   -11.72130     1.18139 
  264.802170475   -10.15466     1.18160 
  264.822603351   -12.34840     1.18135 
  264.843036226   -12.34280     1.18182 
  264.863469101   -16.77333     1.18077 
  264.883901975   -15.80631     1.18081 
  264.904334749   -17.09279     1.18074 
  264.924767724   -17.66075     1.18056 
  264.945200597   -17.48519     1.18062 
  264.965633371   -18.39067     1.18068 
  264.986066344   -17.49221     1.18067 
  265.006499217   -20.35077     1.18012 
  265.026931990   -20.68775     1.18036 
  265.047364863   -21.52439     1.18028 
  265.108663479   -23.57877     1.17998 
  265.129096451   -20.27953     1.18048 
  265.149529322   -24.27862     1.17966 
  265.169962093   -20.80222     1.18032 
  265.190395064   -18.09628     1.18053 
  265.210827834   -22.51756     1.18005 
  265.231260705   -23.99322     1.17991 
  265.251693575   -21.45911     1.18013 
  265.272126445   -22.93993     1.17996 
  265.292559314   -24.37289     1.17964 
  265.312992183   -24.51431     1.17963 
  265.333425053   -24.50630     1.17967 
  265.353857921   -25.06999     1.17970 
  265.374290790   -24.04133     1.17955 
  265.394723558   -22.95398     1.17993 
  265.415156526   -24.61685     1.17963 
  265.435589394   -23.09601     1.17989 
  265.456022162   -26.28292     1.17950 
  265.476455129   -26.20777     1.17948 
  265.496887996   -24.08162     1.17979 
  265.517320763   -26.21097     1.17958 
  265.537753730   -23.48298     1.17996 
  265.558186596   -26.68795     1.17937 
  265.578619362   -27.33444     1.17924 
  265.599052228   -26.96028     1.17947 
  265.619485193   -25.73462     1.17954 
  265.639918059   -25.88288     1.17946 
  265.660350824   -25.95777     1.17946 
  265.680783789   -27.46011     1.17923 
  265.701216653   -26.01380     1.17953 
  265.721649418   -26.78800     1.17936 
  265.742082282   -27.02066     1.17938 
  265.762515246   -24.75026     1.17967 
  265.782948009   -25.62247     1.17963 
  265.803380873   -24.94219     1.17974 
  265.823813836   -25.76433     1.17950 
  265.844246599   -26.88752     1.17950 
  265.864679461   -24.30379     1.17970 
  265.885112324   -24.12173     1.17991 
  265.905545186   -21.99790     1.18005 
  265.925978047   -21.95992     1.18009 
  265.946410909   -20.64738     1.18012 
  265.966843870   -20.86358     1.18019 
  265.987276632   -21.27768     1.18025 
  266.007709492   -18.97890     1.18047 
  266.028142453   -20.82970     1.18043 
  266.048575214   -18.11567     1.18099 
  266.069008074   -20.01387     1.18060 
  266.089440834   -17.72852     1.18080 
  266.109873793   -16.87863     1.18096 
  266.130306653   -14.83288     1.18107 
  266.150739512   -15.10325     1.18112 
  266.171172371   -14.67333     1.18122 
  266.191605229   -10.45972     1.18168 
  266.212038088   -10.18801     1.18170 
  266.232470846   -10.02730     1.18165 
  266.252903804    -8.77274     1.18197 
  266.273336562    -7.40710     1.18218 
  266.293769419    -7.21402     1.18230 
  266.314202376    -5.26050     1.18262 
  266.334635133    -3.92919     1.18294 
  266.355067990    -2.33320     1.18303 
  266.375500846     6.87187     1.18765 
  266.416366558     0.34979     1.18340 
  266.436799414     4.61152     1.18387 
  266.457232270     3.60874     1.18375 
  266.477665125     7.70006     1.18412 
  266.498097980     8.07512     1.18426 
  266.518530934    10.09472     1.18475 
  266.538963689    13.17588     1.18629 
  266.559396543    12.21259     1.18519 
  266.579829297    18.72543     1.18599 
  266.600262251    16.50154     1.18586 
  266.620695105    15.75526     1.18547 
  266.641127858    17.73920     1.18589 
  266.661560811    21.31432     1.18641 
  266.681993664    21.53240     1.18635 
  266.702426516    23.54764     1.18661 
  266.722859268    22.76241     1.18649 
  266.743292220    22.98351     1.18674 
  266.763725072    24.80077     1.18669 
  266.784157824    29.32985     1.18754 
  266.804590775    30.12326     1.18759 
  266.825023626    28.17223     1.18749 
  266.845456377    27.25706     1.18722 
  266.865889228    31.98233     1.18779 
  266.886322178    29.94219     1.18757 
  266.906754928    33.81685     1.18796 
  266.927187778    32.34751     1.18796 
  266.947620727    32.30571     1.18790 
  266.968053577    32.68067     1.18794 
  266.988486326    32.99524     1.18804 
  267.008919275    34.43737     1.18836 
  267.029352123    34.81749     1.18823 
  267.049784872    35.80960     1.18843 
  267.070217720    34.14583     1.18829 
  267.090650668    35.44379     1.18839 
  267.111083416    33.12367     1.18800 
  267.131516263    34.25621     1.18797 
  267.151949210    33.74161     1.18816 
  267.172381957    33.52780     1.18815 
  267.192814804    34.86899     1.18818 
  267.213247650    33.84843     1.18812 
  267.233680496    34.16602     1.18825 
  267.254113342    32.42764     1.18793 
  267.274546188    33.07840     1.18810 
  267.294979034    33.34059     1.18955 
  267.315411879    35.66560     1.18827 
  267.335844724    32.50031     1.18801 
  267.356277569    31.12595     1.18780 
  267.376710413    29.57932     1.18765 
  267.397143257    28.30377     1.18726 
  267.560605903    24.41914     1.18692 
  267.581038845    23.84434     1.18695 
  267.601471587    20.98151     1.18656 
  267.621904429    22.66742     1.18687 
  267.642337370    20.64204     1.18656 
  267.662770111    20.96426     1.18651 
  267.683202952    19.24812     1.18629 
  267.703635793    17.96136     1.18621 
  267.744501473    16.59136     1.18602 
  267.764934313    17.76979     1.18611 
  267.785367153    15.22750     1.18581 
  267.805799992    16.12319     1.18579 
  267.826232832    13.57628     1.18546 
  267.846665771    13.58882     1.18532 
  267.867098509    11.78427     1.18521 
  267.887531348     9.89141     1.18485 
  267.907964086     8.54284     1.18462 
  267.928397024     7.99329     1.18470 
  267.948829862     7.83987     1.18472 
  267.969262599     4.95882     1.18436 
  267.989695537     4.88918     1.18413 
  268.010128374     2.31265     1.18400 
  268.030561211     3.59185     1.18402 
  268.050993947     1.38850     1.18433 
  268.071426884    -1.09607     1.18347 
  268.091859720     0.58726     1.18384 
  268.112292456    -2.88550     1.18322 
  268.132725391    -3.43105     1.18330 
  268.153158227    -0.06048     1.18416 
  268.173590962    -4.83386     1.18298 
  268.194023797    -6.19604     1.18270 
  268.214456731    -7.70478     1.18240 
  268.234889466    -9.18070     1.18235 
  268.255322300    -8.27105     1.18256 
  268.275755234    -9.37183     1.18227 
  268.296187968    -8.35954     1.18239 
  268.316620801    -8.94733     1.18236 
  268.337053735   -11.74247     1.18198 
  268.357486568   -13.42028     1.18162 
  268.377919300   -13.91478     1.18155 
  268.398352133   -11.96908     1.18193 
  268.418784965   -14.34444     1.18180 
  268.439217797   -15.50552     1.18147 
  268.459650629   -13.79720     1.18186 
  268.480083461   -15.41703     1.18147 
  268.500516292   -13.33303     1.18186 
  268.520949023   -17.95754     1.18128 
  268.541381854   -17.27192     1.18130 
  268.561814785   -17.20397     1.18100 
  268.582247615   -18.76990     1.18123 
  268.602680345   -17.40852     1.18119 
  268.623113275   -18.25441     1.18094 
  268.643546105   -19.39051     1.18092 
  268.663978834   -19.92324     1.18061 
  268.684411664   -20.18970     1.18132 
  268.704844593   -19.59969     1.18089 
  268.725277321   -20.96053     1.18058 
  268.745710150   -20.77642     1.18053 
  268.766143078   -21.82429     1.18053 
  268.786575806   -21.28124     1.18042 
  268.807008634   -23.70097     1.18028 
  268.827441562   -23.51989     1.18031 
  268.847874289   -23.40747     1.17992 
