lag_timeseries,correlations
-235.7069987402763,0.002598948793227707
-235.7000124282976,0.0025942368926849028
-235.69302611631892,0.0025708105367867337
-235.68603980434023,0.0025708105367867337
-235.67905349236153,0.00265092973017313
-235.67206718038284,0.00265092973017313
-235.66508086840415,0.0026711113149617016
-235.65809455642545,0.0026711113149617016
-235.65110824444676,0.0026767663043186798
-235.64412193246807,0.0026767663043186798
-235.63713562048937,0.002635908425437994
-235.63014930851068,0.002635908425437994
-235.623162996532,0.0028399694214938215
-235.6161766845533,0.0028399694214938215
-235.6091903725746,0.002666513943470714
-235.6022040605959,0.002666513943470714
-235.59521774861722,0.002651603009818397
-235.58823143663852,0.002921405094338952
-235.58124512465983,0.001943617069920647
-235.57425881268114,0.003512820988910928
-235.56727250070244,0.003512820988910928
-235.56028618872375,0.003512820988910928
-235.55329987674506,0.003512820988910928
-235.54631356476636,0.003512820988910928
-235.53932725278767,0.003512820988910928
-235.53234094080898,0.003512820988910928
-235.52535462883029,0.003512820988910928
-235.5183683168516,0.003512820988910928
-235.5113820048729,0.003512820988910928
-235.5043956928942,0.003512820988910928
-235.4974093809155,0.003512820988910928
-235.49042306893682,0.003512820988910928
-235.48343675695813,0.003512820988910928
-235.47645044497943,0.003512820988910928
-235.46946413300074,0.003512820988910928
-235.46247782102205,0.003512820988910928
-235.45549150904336,0.003512820988910928
-235.44850519706466,0.003512820988910928
-235.44151888508597,0.003512820988910928
-235.43453257310728,0.003512820988910928
-235.42754626112858,0.003512820988910928
-235.4205599491499,0.003512820988910928
-235.4135736371712,0.003512820988910928
-235.4065873251925,0.003512820988910928
-235.3996010132138,0.003512820988910928
-235.39261470123512,0.003512820988910928
-235.38562838925642,0.003512820988910928
-235.37864207727773,0.003512820988910928
-235.37165576529904,0.003512820988910928
-235.36466945332035,0.003512820988910928
-235.35768314134165,0.003512820988910928
-235.35069682936296,0.003512820988910928
-235.34371051738427,0.003512820988910928
-235.33672420540557,0.003512820988910928
-235.32973789342688,0.003512820988910928
-235.3227515814482,0.003512820988910928
-235.3157652694695,0.003512820988910928
-235.3087789574908,0.003512820988910928
-235.3017926455121,0.003512820988910928
-235.29480633353342,0.003512820988910928
-235.28782002155472,0.003512820988910928
-235.28083370957603,0.003512820988910928
-235.27384739759734,0.003512820988910928
-235.26686108561864,0.003512820988910928
-235.25987477363995,0.003512820988910928
-235.25288846166126,0.003512820988910928
-235.24590214968256,0.003512820988910928
-235.23891583770387,0.003512820988910928
-235.23192952572518,0.003512820988910928
-235.22494321374649,0.003512820988910928
-235.2179569017678,0.003512820988910928
-235.2109705897891,0.003512820988910928
-235.2039842778104,0.003512820988910928
-235.1969979658317,0.003512820988910928
-235.19001165385302,0.003512820988910928
-235.18302534187433,0.003512820988910928
-235.17603902989563,0.003512820988910928
-235.16905271791694,0.003512820988910928
-235.16206640593825,0.003512820988910928
-235.15508009395955,0.003512820988910928
-235.14809378198086,0.003512820988910928
-235.14110747000217,0.003512820988910928
-235.13412115802348,0.003512820988910928
-235.12713484604478,0.003512820988910928
-235.1201485340661,0.003512820988910928
-235.1131622220874,0.003514470184932745
-235.1061759101087,0.0035142388705899767
-235.09918959813,0.0035133464259337888
-235.09220328615132,0.003507004259328239
-235.08521697417262,0.003501146746201807
-235.07823066219393,0.0034827334817078863
-235.07124435021524,0.003472118444896794
-235.06425803823655,0.0034599695864376066
-235.05727172625785,0.0034558686078062493
-235.05028541427916,0.0034499884905846434
-235.04329910230047,0.0034488263895381902
-235.03631279032177,0.0034388664472438245
-235.02932647834308,0.0034421803729075364
-235.0223401663644,0.0034308756017409465
-235.0153538543857,0.0034277683730137205
-235.008367542407,0.0034252007044064674
